,price,resid_z,p_value,flag_conformal,flag_isoforest,flag_lof,votes,severity,flag
2022-11-14,173.5500030517578,-0.4505022860474143,0.5866935483870968,0,0,0,0,0,0
2022-11-15,175.35000610351562,-0.13051027095594658,0.8730691739422431,0,0,0,0,0,0
2022-11-16,172.69000244140625,-0.24823578081401124,0.7583892617449665,0,0,0,0,0,0
2022-11-17,172.77999877929688,0.08777851777042271,0.9161636485580148,0,0,0,0,0,0
2022-11-18,173.88999938964844,-0.006308329992039934,0.9959785522788204,0,0,0,0,0,0
2022-11-21,172.94000244140625,-0.15509307587236432,0.8439383791024783,0,0,0,0,0,0
2022-11-22,172.5,-0.800363498320982,0.3433734939759036,0,0,0,0,0,0
2022-11-23,174.85000610351562,0.27630344908357185,0.7237458193979933,0,0,0,0,0,0
2022-11-25,178.36000061035156,0.8477894223222435,0.32085561497326204,0,0,0,0,0,0
2022-11-28,171.8300018310547,-0.7878132635578108,0.3486973947895792,0,0,0,0,0,0
2022-11-29,175.32000732421875,0.9023094456422965,0.2963951935914553,0,0,0,0,0,0
2022-11-30,178.8800048828125,-0.6988875602385336,0.4069379586390927,0,0,0,0,0,0
2022-12-01,175.77999877929688,-0.6770031748865508,0.426,0,0,0,0,0,0
2022-12-02,182.8699951171875,1.5587905336165997,0.11658894070619587,0,0,0,0,0,0
2022-12-05,185.10000610351562,1.4894830603979539,0.12583222370173103,0,0,0,0,0,0
2022-12-06,178.42999267578125,-0.763291281967923,0.36127744510978044,0,0,0,0,0,0
2022-12-07,176.5,-0.3468491714219613,0.6695478723404256,0,0,0,0,0,0
2022-12-08,179.0800018310547,0.22883266661295457,0.774750830564784,0,0,0,0,0,0
2022-12-09,179.5399932861328,0.6249621114455043,0.4601593625498008,0,0,0,0,0,0
2022-12-12,186.27000427246094,0.7962219311446991,0.34571997345719974,0,0,0,0,0,0
2022-12-13,187.1300048828125,-0.10123319997863447,0.903183023872679,0,0,0,0,0,0
2022-12-14,188.25,0.5499126166391005,0.5142478462557986,0,0,0,0,0,0
2022-12-15,183.72000122070312,0.2377609676383191,0.7675496688741722,0,0,0,0,0,0
2022-12-16,184.6999969482422,0.7980452739429572,0.343481138318994,0,0,0,0,0,0
2022-12-19,185.67999267578125,0.5626234020460206,0.5033068783068783,0,0,0,0,0,0
2022-12-20,188.2899932861328,0.4314831119157142,0.6021150033046927,0,0,0,0,0,0
2022-12-21,196.0,0.8620538464013152,0.3137384412153236,0,0,0,0,0,0
2022-12-22,188.25,-0.9636405106194204,0.2693069306930693,0,0,0,0,0,0
2022-12-23,189.05999755859375,-0.16917873747024098,0.8304749340369393,0,0,0,0,0,0
2022-12-27,189.39999389648438,0.18140775824169214,0.8220171390903098,0,0,0,0,0,0
2022-12-28,188.3800048828125,0.3963124560439381,0.6337285902503293,0,0,0,0,0,0
2022-12-29,188.91000366210938,-0.8509179198525445,0.31797235023041476,0,0,0,0,0,0
2022-12-30,190.49000549316406,0.4695601238025426,0.5756578947368421,0,0,0,0,0,0
2023-01-03,195.38999938964844,1.3117089012618308,0.15516107823800132,0,0,0,0,0,0
2023-01-04,203.63999938964844,1.4293087808326348,0.13272010512483573,0,0,0,0,0,0
2023-01-05,204.99000549316406,0.789184614455791,0.34931057124097176,0,0,0,0,0,0
